2025-01-11 16:18:01 DEBUG Connection:131 - {conn-10001,procId-1382} connected
2025-01-11 16:18:01 DEBUG Statement:136 - {conn-10001, stmt-20000} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000, rs-50000} query executed. 182.7038 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10002,procId-1383} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001, rs-50001} query executed. 0.4621 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10003,procId-1384} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002, rs-50002} query executed. 0.4906 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10004,procId-1385} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003, rs-50003} query executed. 0.4446 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005,procId-1386} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004, rs-50004} query executed. 0.4083 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} created. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Parameters : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Types : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005, rs-50005} query executed. 2.5214 millis. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Header: [player_id, name, mails_read, mails_collect]
2025-01-11 17:48:01 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:01 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:01 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:48:11 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:48:11 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:48:11 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:48:11 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:48:11 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.9747 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:48:11 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:48:11 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:48:11 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:11 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:11 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:48:21 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:48:21 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:48:21 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:48:21 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:48:21 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.6166 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:48:21 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:48:21 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:48:21 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:21 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:21 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:48:32 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:48:32 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:48:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:48:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:48:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 1.2011 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:48:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:48:32 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:48:32 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:32 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:32 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:48:42 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:48:42 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:48:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:48:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:48:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.717 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:48:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:48:42 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:48:42 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:42 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:42 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:48:52 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:48:52 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:48:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:48:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:48:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.313 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:48:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:48:52 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:48:52 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:48:52 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:48:52 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.6222 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:02 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:02 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:02 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:02 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:12 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:12 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.6002 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:12 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:12 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:12 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:12 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:22 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:22 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.7283 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:22 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:22 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:22 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:22 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:32 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:32 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.6784 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:32 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:32 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:32 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:32 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:42 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:42 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.5968 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:42 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:42 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:42 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:42 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:49:52 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:49:52 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:49:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:49:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:49:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.3954 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:49:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:49:52 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:49:52 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:49:52 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:49:52 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 1.3302 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:02 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:02 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:02 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:02 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:12 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:12 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.3265 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:12 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:12 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:12 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:12 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:22 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:22 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.3348 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:22 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:22 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:22 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:22 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:32 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:32 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.5607 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:32 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:32 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:32 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:32 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:32 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:42 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:42 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.58 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:42 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:42 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:42 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:42 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:42 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:50:52 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:50:52 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:50:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:50:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:50:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.267 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:50:52 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:50:52 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:50:52 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:50:52 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:50:52 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:51:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:51:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:51:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:51:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:51:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 2.3255 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:51:02 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:51:02 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:51:02 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:51:02 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:51:02 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:51:12 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:51:12 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:51:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:51:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
2025-01-11 17:51:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} update executed. effort 1. 0.6101 millis. update player set mails_read = ? where player_id = ?
2025-01-11 17:51:12 DEBUG Statement:136 - {conn-10005, pstmt-20012} clearParameters. 
2025-01-11 17:51:12 DEBUG Statement:136 - {conn-10005, stmt-20012} clearBatch. 
2025-01-11 17:51:12 DEBUG Connection:131 - {conn-10005} commited
2025-01-11 17:51:12 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 17:51:12 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 17:51:22 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 17:51:22 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 17:51:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Parameters : [530277108381908992,530277108188971008,530277108780367872,530277108453212160,533176006771474432,533183021359038464,530277108595818496,530277108528709632,530277108147027968,530277108658733056,530277108692287488,530277108566458368,530277108306411520,530277107647905792,530277108268662784,533187685284577280,533187681165770752,, 532125160493285376]
2025-01-11 17:51:22 DEBUG Statement:136 - {conn-10005, pstmt-20012} Types : [VARCHAR, BIGINT]
